scene_id,trip_id,rater_status,parent_scene_id,lump_split_type,canonical_desc,canonical_span_start,canonical_span_end,rater_A_refs,rater_B_refs,adjudicator_note
Psilocybe_02_S02_AB,Psilocybe_02,both,,none,Tree with animated cortex + pine needles as sliding filaments,480,800,"A02,A03,A04",B01,Both individuated; B's excerpt also encompasses the sky + tree together.
Psilocybe_02_S03_A,Psilocybe_02,only_A,,none,"Own hands transparent, milky, blue veins, tiny moving particles",872,1000,"A05,A06,A07,A08",,A individuated; B did not.
Psilocybe_02_S04_AB,Psilocybe_02,both,,none,Ground appears as mass of moving black shining worms,1015,1100,"A09,A10",B02,Both individuated.
Psilocybe_02_S05_A,Psilocybe_02,only_A,,none,Fantasy world like Lord of the Rings (eyes closed),1144,1210,"A11,A12",,A individuated; B did not.
Psilocybe_02_S06_A,Psilocybe_02,only_A,,none,Violent scream heard (auditory),1209,1270,A13,,A individuated; B did not.
Psilocybe_02_S07_AB,Psilocybe_02,both,,none,Trees become a vortex; fluorescent lines leaving traces on black screen following secret geometry,1574,1800,"A14,A15,A16,A17,A18,A19",B03,Both individuated.
Psilocybe_02_S08_A,Psilocybe_02,only_A,,none,"Walking in wood: brilliant green heart-shaped leaves, rain like ice needles, wind in dolby surround",2000,2170,"A20,A21",,A individuated; B did not.
Psilocybe_02_S09_AB,Psilocybe_02,both,,none,Feeling of someone following behind him (but no one there),2511,2600,A22,B04,Both individuated.
Psilocybe_02_S10_AB,Psilocybe_02,both,,none,Mexican environment perceived as extraordinarily colourful,3114,3210,A23,B05,Both individuated with same attribute.
Psilocybe_02_S11_AB,Psilocybe_02,both,,none,Blanket with flowers fluctuating on it; merges with them,4469,4580,"A24,A25",B06,Both individuated.
Psilocybe_02_S12_A,Psilocybe_02,only_A,,none,Feeling of being at a California party with many people and music; amplified echo-sounds,4700,5000,A26,,A individuated; B did not.
Psilocybe_02_S13_A,Psilocybe_02,only_A,,none,Visions of past parties and clubs,5555,5620,"A27,A28,A29",,A individuated; B did not.
Psilocybe_02_S14_A,Psilocybe_02,only_A,,none,Own scent (and girlfriend's) strong like animals (olfactory),6390,6470,A30,,A individuated; B did not.
Psilocybe_02_S15_AB,Psilocybe_02,both,,none,Colourful visions of lights and luminous wires interweaving,7126,7200,"A32,A33,A34",B07,Both individuated.
Psilocybe_02_S16_AB,Psilocybe_02,both,,none,"Wall becomes liquid and transparent, water flowing into it",7211,7300,A35,B08,Both individuated; full agreement.
Psilocybe_02_S17_A,Psilocybe_02,only_A,,none,"Hears voices outside as Chinese speakers under bamboo shelter, wind in bamboo",7300,7500,"A36,A37",,A individuated; B did not.
Psilocybe_02_S18_AB,Psilocybe_02,both,,none,Colourful snakes moving in a pattern,7791,7850,"A38,A39",B09,Both individuated.
Psilocybe_02_S19_A,Psilocybe_02,only_A,,none,Enters '2001: A Space Odyssey' immersively,8242,8310,A40,,A individuated; B did not.
Psilocybe_02_S20_A,Psilocybe_02,only_A,,none,Wood-board ceiling: veins and nodes floating,8485,8560,"A41,A42",,A individuated; B did not.
Psilocybe_02_S21_AB,Psilocybe_02,both,,none,"Wonderful dragons/demons flying, gold rings with gemstones whirling like snake skin forming esoteric symbol",8674,8900,"A43,A44,A45",B10,Both individuated.
Psilocybe_02_S22_A,Psilocybe_02,only_A,,none,Everything turns silver; opera-set leans toward audience,8955,9080,"A46,A47,A48,A49,A50",,A individuated; B did not.
Psilocybe_02_S23_AB,Psilocybe_02,both,,none,Virtual hexagonal room with dimensional-porthole round window leading to other worlds,9273,9520,"A51,A52,A53,A54,A55,A56",B11,Both individuated.
Psilocybe_02_S24_AB,Psilocybe_02,both,,none,Black heart-shaped obsidian in dark cave emanating evil; takes anthropomorphic black-fog form,10283,10530,"A57,A58,A59,A60,A61",B12,Both individuated.
Psilocybe_02_S25_A,Psilocybe_02,only_A,,none,Visual of dissolution of the body / end of everything (imagining death),10686,10800,A62,,A individuated; B did not.
Psilocybe_02_S26_A,Psilocybe_02,only_A,,none,"Palm lines change colour, rectangle of iridescent soft pulsing lines, hand as planet surface, dead hand",11390,11580,"A63,A64,A65,A66",,A individuated; B did not.
Psilocybe_03_S01_AB,Psilocybe_03,both,,none,"Stands before a board of spirits (unseen, audible); spirits discourse on interdimensional race, recalibration, mission",5387,7050,A01,"B01,B02",Both individuated this extended spirit-council scene.
Psilocybe_04_S01_B,Psilocybe_04,only_B,,none,Sees himself on a high bridge pirouetting like a Cirque du Soleil acrobat,746,1090,,B01,B individuated; A did not.
Psilocybe_04_S02_AB,Psilocybe_04,both,,none,"Hallmark shapes of the medicine spirit: fractal shapes, alternating zones of bright complementary colors",1094,1320,"A01,A02,A03",B02,Both individuated.
Psilocybe_04_S03_AB,Psilocybe_04,both,,none,Sees spirits and a pesky demon; feels he and wife had been 'here before',3120,3250,"A04,A05,A06",B03,Both individuated.
Psilocybe_05_S01_AB,Psilocybe_05,both,,none,"Words on the computer screen shimmer, flicker, then mutate wildly in rhythmic patterns",1438,2100,A01,B01,Both individuated.
Psilocybe_05_S02_A,Psilocybe_05,only_A,,none,"Friend's trippy-art images mutating, shimmering, melting, growing out and back",2331,2540,A02,,A individuated; B did not.
Psilocybe_05_S03_A,Psilocybe_05,only_A,,none,"Pictures himself as a small child lost in space, flying into nether regions",2887,3000,"A03,A04,A05,A06",,A individuated; B did not.
Psilocybe_05_S04_A,Psilocybe_05,only_A,,none,Sun rising and setting repeatedly in background of picture; each component a breathing mass of cosmic sludge,2994,3320,"A07,A08,A09,A10",,A individuated; B did not.
Psilocybe_05_S05_AB,Psilocybe_05,both,,none,A beautiful golden sun of geometric figures appears etched into the background of screen,3327,3540,"A11,A12,A13",B02,Both individuated.
Psilocybe_05_S06_A,Psilocybe_05,only_A,,none,Sinister cosmic black hole pulling away parts of ego,3725,3900,A14,,A individuated; B did not.
Psilocybe_05_S07_AB,Psilocybe_05,both,,none,Indian jungle; black snakes slithering around; desk transforms into stone panther statue; hordes of faces cascading with sinister smiles,4513,4990,"A15,A16,A17,A18,A19,A20,A21,A22,A23","B03,B04,B05,B06,B07",Both individuated this composite jungle scene; both captured multiple sub-objects. Alteration-type disagreement (detached vs full-blown immersive).
Psilocybe_05_S08_AB,Psilocybe_05,both,,none,Darkness around computer screen cycles between dark and dim light,5942,6150,A24,B08,Both individuated.
Psilocybe_05_S09_A,Psilocybe_05,only_A,,none,Auditory hallucinations infiltrating thoughts (ghost voices of acquaintances),6243,6350,A25,,A individuated; B did not.
Psilocybe_05_S10_AB,Psilocybe_05,both,,none,"Full 3D dream world with alien-like monstrosities (Lovecraftian), mutating quivering things staring back",7937,8400,"A26,A27,A28","B09,B10",Both individuated.
Psilocybe_05_S11_A,Psilocybe_05,only_A,,none,Feels he stumbled upon a cosmic isle free of earthly properties,9389,9500,A29,,A individuated; B did not.
Psilocybe_06_S01_AB,Psilocybe_06,both,,none,Street / patterned surfaces begin to roll and stretch like a calm sea,1911,2020,A01,B01,Both individuated.
Psilocybe_06_S02_A,Psilocybe_06,only_A,,none,Speaking and hearing spoken words feels somewhat alien,2027,2120,A02,,A individuated; B did not.
Psilocybe_06_S03_A,Psilocybe_06,only_A,,none,"Entering dark bathroom from bright sun: can't make out colors/shapes, black-brown haze",2500,2600,A03,,"A individuated; B did not (possibly because this is a real light-adaptation effect, not a hallucination)."
Psilocybe_06_S04_AB,Psilocybe_06,both,,none,Stall walls bending and rolling like sheet metal; wood-grain lines stretching and shrinking,2680,2980,"A04,A05",B02,Both individuated.
Psilocybe_06_S05_A,Psilocybe_06,only_A,,none,Everything looks kind of glassy,5250,5290,A06,,A individuated; B did not.
Psilocybe_06_S06_AB,Psilocybe_06,both,,none,Hallway shifts and starts to rock; lights shimmer and fade,6226,6400,"A07,A08",B03,Both individuated. A additionally captures the tactile (rocking) modality.
Psilocybe_06_S07_A,Psilocybe_06,only_A,,none,Period-rush: for seconds feels he's really in prehistoric earth in front of T-rex,7057,7200,A09,,A individuated; B did not.
Psilocybe_06_S08_A,Psilocybe_06,only_A,,none,Sounds of people talking cease to be words and become pure sounds flowing around him,9343,9470,A10,,A individuated; B did not.
Psilocybe_06_S09_A,Psilocybe_06,only_A,,none,Running fingers across face leaves tactile tracers (feels fingers pressing after pulling away),10185,10380,A11,,A individuated; B did not.
Psilocybe_07_S01_AB,Psilocybe_07,both,,none,Waves of psychedelic energy manifest as 'wind' flowing through body,260,400,A01,B01,Both individuated. Rater A tags tactile modality; rater B tags visual. Genuine modality disagreement on same scene.
Psilocybe_07_S02_A,Psilocybe_07,only_A,,none,Visions plentiful but in black and white; feels ego being physically crushed like a can,1094,1470,"A02,A03,A04,A05",,A individuated; B did not.
Psilocybe_07_S03_AB,Psilocybe_07,both,,none,Entity arrives; does rhythmic dance involving horrifying probes of his form; turns out to be a giant praying mantis with cartoon details,1545,2600,"A06,A07,A08,A09,A10","B02,B03",Both individuated the mantis-entity scene.
Psilocybe_07_S04_AB,Psilocybe_07,both,,none,"Drifts through outer space; sees stars, celestial bodies, molecules; charts the cosmos by rearranging stars, different arrangements produce different mental states",2895,3900,"A11,A12,A13,A14,A15,A16",B04,Both individuated.
Psilocybe_07_S05_AB,Psilocybe_07,both,,none,Round room; perimeter has Mayan-cartoon-dog creatures with dragging tongues and backward eyes; middle has indescribable entities; one is a Huichol-garbed Mexican man vomiting,3961,4900,"A17,A18,A19,A20,A21,A22,A23,A24,A25","B05,B06,B07,B08",Both individuated this composite round-room scene.
Psilocybe_07_S06_AB,Psilocybe_07,both,,none,"Opium-poppy-like flowers surround him; DMT machine-elves arrive, sing in high-pitched collective voice about his DNA",5240,5700,"A26,A27,A28,A29","B09,B10",Both individuated.
Psilocybe_07_S07_AB,Psilocybe_07,both,,none,Metallic cicada-like buzzing sound locked on to his hum; he feels as a bug making the sound; intuitive understanding of metamorphosis,6459,6700,A30,B11,"Both individuated. Object-class disagreement: A=animal/insect, B=extraordinary entity."
Psilocybe_07_S08_AB,Psilocybe_07,both,,none,"Sculpts 3D objects of pure light and revolving spheres, towers of emerald surrounded by throbbing orbs of sound and love",7203,7500,"A31,A32,A33,A34,A35,A36",B12,Both individuated.
Psilocybe_08_S01_AB,Psilocybe_08,both,,none,Music turns things into dragons; own and sitter's hands look and feel like dragon's claws,1719,1900,A02,B01,Both individuated.
Psilocybe_08_S02_A,Psilocybe_08,only_A,,none,Friend who told frog joke shows up in frog form a few times during session,1905,2060,"A03,A04",,A individuated; B did not.
Psilocybe_08_S03_AB,Psilocybe_08,both,,none,Kaleidoscope-type visuals,2080,2180,"A05,A06",B02,Both individuated.
Psilocybe_08_S04_A,Psilocybe_08,only_A,,none,"Beautiful visual of living, breathing Earth with water flowing around and through it",2766,2870,"A07,A08",,A individuated; B did not.
Psilocybe_08_S05_B,Psilocybe_08,only_B,,none,Becoming part of a vast network of dancing pale green branches; limbs merging seamlessly,3149,3400,,B03,B individuated; A codes this at trip-level as ego-dissolution/bodily (a09).
Psilocybe_08_S06_A,Psilocybe_08,only_A,,none,Abstract visual interpretations of music (sunlight-on-ripples analog),3357,3680,"A09,A10,A11,A12,A13",,A individuated; B did not.
Psilocybe_08_S07_AB,Psilocybe_08,both,,none,Sitter / bedroom wall / surroundings familiar but distorted in space as if brain refused to do geometry,3704,3850,A14,B04,Both individuated.
Psilocybe_08_S08_AB,Psilocybe_08,both,,none,Beautiful fractal rainbow spiral world with sense of order and freedom,5419,5540,"A15,A16,A17",B05,Both individuated.
Psilocybe_08_S09_AB,Psilocybe_08,both,,none,"The words 'cosmic consciousness' appear visually, exactly as he'd written them earlier",5549,5690,A18,B06,Both individuated.
Psilocybe_08_S10_AB,Psilocybe_08,both,,none,"Two friends appear in the fractal space: one as a frog, one dancing",5686,5900,"A19,A20",B07,Both individuated. Note: B codes 'frog' as aquatic-animal (debatable — frogs are amphibians).
Psilocybe_08_S11_A,Psilocybe_08,only_A,,none,Own consciousness manifests as loosely defined part of the fractal; candle-like light fading,6191,6400,"A21,A22",,A individuated; B did not.
Psilocybe_08_S12_A,Psilocybe_08,only_A,,none,Sees normal human waking life as a small dark loop in the pattern,7363,7460,"A23,A24",,A individuated; B did not.
Psilocybe_09_S01_A,Psilocybe_09,only_A,,none,Waves of rainbow pastel colors separate and replicate,734,900,"A01,A02,A03",,A individuated; B did not.
Psilocybe_09_S02_A,Psilocybe_09,only_A,,none,Rising focusing energy; gives birth to the universe with ecstatic dancing,1612,1790,"A04,A05,A06",,A individuated; B did not.
Psilocybe_09_S03_AB,Psilocybe_09,both,,none,Lights dancing; Jimi Hendrix poster on wall is a 3D mosaic undulating,2247,2400,A07,B01,Both individuated. Full agreement.
Psilocybe_09_S04_A,Psilocybe_09,only_A,,none,Cosmic winds blow through center of where he had been until nothing,3694,3870,"A08,A09,A10",,A individuated; B codes this at trip-level as ego dissolution (b01).
Psilocybe_09_S05_A,Psilocybe_09,only_A,,none,"When he turned his gaze, darkness followed behind but what he looked at was illuminated",5697,5800,"A11,A12,A13",,A individuated; B did not.
Psilocybe_10_S01_AB,Psilocybe_10,both,,none,Sees another set of fingers floating above current set; friend's thumb appears inches from face though he is 6 feet away,1365,1900,"A01,A02,A03,A04",B01,Both individuated.
Psilocybe_10_S02_AB,Psilocybe_10,both,,none,"Outlines in visual field become wavy/melting; notices intricate patterns in room, furniture, wood grain",3159,3450,"A05,A06",B02,Both individuated.
Psilocybe_10_S03_AB,Psilocybe_10,both,,none,"Mirror reflection looks animalistic/mousy; shadowing, expression, outlines of face change and distort",3573,3900,A07,B03,Both individuated.
Psilocybe_10_S04_AB,Psilocybe_10,both,,none,Couch appears as size of skyscraper; or he was extremely tiny,3959,4100,A08,B04,Both individuated.
Psilocybe_10_S05_AB,Psilocybe_10,both,,none,Everything in visual field was breathing; objects animated; colors pop and change faintly,5730,5870,A09,B05,Both individuated.
Psilocybe_10_S06_AB,Psilocybe_10,both,,none,Hedges in yard spell out 'Ron Regan' (Lil' Wayne song lyric); auditory connection,9766,9860,A10,B06,"Both individuated. Major modality disagreement: A tags auditory-plant, B tags visual-illusion (the hedges spelling letters is visual, but A interpreted it through the song lyric context)."
Psilocybe_10_S07_A,Psilocybe_10,only_A,,none,Still-distorting houses and telephone poles seen from ambulance,11631,11720,A11,,A individuated; B did not.
Psilocybe_11_S01_AB,Psilocybe_11,both,,none,"Becomes aware of a loving, intelligent, ancient, alien presence not in room or head",5629,5980,A01,"B01,B02,B03",Both individuated. B additionally codes visual alteration + object constancy.
Psilocybe_11_S02_AB,Psilocybe_11,both,,none,Patterns as geometric fractals with distinctly organic feel,5982,6200,A02,B04,Both individuated.
Psilocybe_11_S03_AB,Psilocybe_11,both,,none,Hears presence respond 'I am you and you are me',6423,6600,A03,B05,Both individuated. Disagreement on extraordinary-entity leaf (other vs alien).
Psilocybe_11_S04_AB,Psilocybe_11,both,,none,Blue tie-dye-like pattern with vibrant blues; gradient begins to ripple like a veil; rotation and spiral geometry,7273,8310,"A04,A05,A06,A07","B06,B07",Both individuated this extended geometric pattern scene.
Psilocybe_11_S05_AB,Psilocybe_11,both,,none,"Pine trees, sunflower carvings, birds, woodland creatures, rotating 3D crystals, 9 men on bicycles riding over mountains from web-strands",8773,9050,"A08,A09,A10,A11,A12","B09,B10,B11,B12,B13,B14,B15,B16",Both individuated this dense composite scene with many sub-objects. High object-class agreement.
Psilocybe_11_S06_B,Psilocybe_11,only_B,,none,With the pulsing came recognizable images from our own world; completely let go,8471,8620,,B08,B individuated as transition scene; A absorbs this under S05.
Psilocybe_11_S07_B,Psilocybe_11,only_B,,none,"Entity takes his arms, pokes his face/chest while repeating 'you are the universe'",9560,9900,,B17,B individuated the possession/poking scene; A codes related insight at trip-level.
Psilocybe_11_S08_AB,Psilocybe_11,both,,none,"Entity revealed with cuttlefish/octopus eyes, roundish head, golden/orange radiance like alive sun looking back",10971,11500,A13,B18,Both individuated. Extraordinary-entity leaf disagreement (other vs alien).
Psilocybe_12_S01_B,Psilocybe_12,only_B,,none,Within 10 minutes things getting colorful,1283,1350,,B01,B individuated; A did not.
Psilocybe_12_S02_AB,Psilocybe_12,both,,none,Full kaleidoscope of spinning glowing pinwheels throughout scope of vision,2195,2340,A01,B02,"Both individuated. Disagreement on object-constancy (A says no, B says yes)."
Psilocybe_12_S03_AB,Psilocybe_12,both,,none,"Disperses into black microscopic crystals across a dark void; floats in void; exists only as essence, everything that exists",5259,5800,A02,B03,Both individuated the void scene.
Psilocybe_12_S04_AB,Psilocybe_12,both,,none,Coalesces back into two selves; has conversation with 'trip Doug' who reveals they met 20 years ago at Fire Island,5832,7650,"A03,A04","B04,B05",Both individuated the trip-Doug conversation.
Psilocybe_12_S05_B,Psilocybe_12,only_B,,none,"Two parallel universes sitting next to each other, can see them both",7068,7200,,B06,B individuated; A codes related insight at trip-level.
Psilocybe_12_S06_AB,Psilocybe_12,both,,none,Kaleidoscope patterns resume as he merges with trip-Doug,7576,7720,A05,B07,Both individuated.
Psilocybe_12_S07_AB,Psilocybe_12,both,,none,"Swimming through blue geometric domino-like objects with Z-shaped white/blue morphing patterns; smooth, felt on skin, dripped off fingers",8009,8550,"A06,A07","B08,B09",Both individuated the swimming-through-geometry scene with tactile component.
Psilocybe_12_S08_AB,Psilocybe_12,both,,none,"Wife has sparkling halo around her body form, shimmers like a mirage",8878,9020,A08,B10,Both individuated.
Psilocybe_12_S09_A,Psilocybe_12,only_A,,none,Everything takes on shimmering saturated jungle lushness,12092,12160,A09,,A individuated; B did not.
Psilocybe_12_S10_A,Psilocybe_12,only_A,,none,Watercolor of red apples on emerald green geometric background boils and moves in hypnotic chaotic madness,12154,12400,A10,,A individuated; B did not.
Psilocybe_13_S01_AB,Psilocybe_13,both,,none,Paintings of old German towns on the wall come alive with people walking in them,684,830,A01,"B01,B02",Both individuated. Type-of-alteration disagreement (incrusted vs illusion); dynamics disagreement (no-constancy vs constancy).
Psilocybe_13_S02_AB,Psilocybe_13,both,,none,Long blue hairs/tentacles reach down towards his face; feels them; become black octopus consuming him,1309,1620,"A02,A03","B03,B04,B05,B06",Both individuated the hair/tentacles/octopus scene.
Psilocybe_13_S03_AB,Psilocybe_13,both,,none,In a place full of faces and rooms; wanted to see own face; sees wife's face instead,1876,2100,A04,"B07,B08,B09",Both individuated.
Psilocybe_13_S04_AB,Psilocybe_13,both,,none,At his own funeral staring at wife's crying face being hugged by mourners,2254,2500,A05,"B10,B11,B12",Both individuated. Dynamics disagreement (no-constancy vs constancy).
Psilocybe_13_S05_AB,Psilocybe_13,both,,none,Watches first two cells split; consciousness builds human mind from various things,2700,2950,A06,B13,Both individuated.
Psilocybe_13_S06_AB,Psilocybe_13,both,,none,Transported to another world made of shallow water with metal fan-blade parts flowing in and out,3677,3950,A07,"B14,B15,B16",Both individuated.
Psilocybe_13_S07_B,Psilocybe_13,only_B,,none,House is very psychedelic and trippy,4418,4520,,B17,B individuated; A did not.
Psilocybe_13_S08_AB,Psilocybe_13,both,,none,Blankets are clouds with little machines running through them; wood floors and dresser become rave of moving lines,4569,4760,"A08,A09","B18,B19,B20",Both individuated.
Psilocybe_13_S09_AB,Psilocybe_13,both,,none,Has ape hands; sees memory of himself as an ape eating mushrooms,4773,5140,A10,B21,Both individuated.
Psilocybe_13_S10_AB,Psilocybe_13,both,,none,"Orange splits into two halves that become two brains (smaller old, larger new)",5144,5400,A11,B22,Both individuated.
Psilocybe_13_S11_B,Psilocybe_13,only_B,,none,Room bursts into million colors and crazy patterns,5522,5600,,B23,B individuated; A did not.
Psilocybe_13_S12_B,Psilocybe_13,only_B,,none,Peeled banana has streaks of red and purple (tie-dye colors),6893,7000,,B24,B individuated; A did not.
Psilocybe_13_S13_A,Psilocybe_13,only_A,,none,Feels electricity in the back of his head during storm,7196,7300,A12,,A individuated; B did not.
Psilocybe_14_S01_A,Psilocybe_14,only_A,,none,First flashes of pastel colors dance behind eyelids,687,790,A01,,A individuated; B did not.
Psilocybe_14_S02_B,Psilocybe_14,only_B,,none,Strange irregularity in heartbeat / cardiac arrhythmia feeling,795,900,,B01,B individuated as a scene; A did not.
Psilocybe_14_S03_B,Psilocybe_14,only_B,,none,Realizes 'it was my turn to die',1285,1400,,B02,B individuated; A did not.
Psilocybe_14_S04_AB,Psilocybe_14,both,,none,Horrific feeling of being violated and examined by invisible forces,2191,2500,A02,"B03,B04",Both individuated.
Psilocybe_14_S05_AB,Psilocybe_14,both,,none,"Stream of terrifying imagery spreads all around: occult symbols, sigils, hieroglyphs, cuneiform, flaming chariots, horned goats, snakes, angels",2730,3000,A03,"B05,B06,B07,B08,B09,B10,B11,B12,B13,B14",Both individuated this composite apocalyptic-imagery scene with many sub-objects. Alteration-type disagreement (immersive vs detached). Object-classes overlap heavily.
Psilocybe_14_S06_AB,Psilocybe_14,both,,none,"Ink appears to touch paper before pen hits, letters spill in slow motion, page looks made of radiant liquid light",4351,4600,A04,B15,Both individuated.
Psilocybe_15_S01_A,Psilocybe_15,only_A,,none,"Looking into tree, limbs seem to pull away from him and each other",855,960,A01,,A individuated; B did not.
Psilocybe_15_S02_A,Psilocybe_15,only_A,,none,"Sun has awesome presence: warm, powerful, God-like",1098,1200,A02,,A individuated; B did not.
Psilocybe_15_S03_B,Psilocybe_15,only_B,,none,"Scenery changed, nothing sits in space normally, nothing stationary",1513,1630,,B01,B individuated; A did not.
Psilocybe_15_S04_AB,Psilocybe_15,both,,none,Rush of geometric flowing orange/yellow/red patterns behind eyelids,1630,1810,A03,B02,Both individuated.
Psilocybe_15_S05_AB,Psilocybe_15,both,,none,"Sees images of Buddha, Jesus and other unidentified figures",1807,2000,A04,B03,Both individuated. Entity-leaf disagreement (other vs god).
Psilocybe_15_S06_A,Psilocybe_15,only_A,,none,Friends' yells reverberate and he felt them all around him,2523,2640,A05,,A individuated; B did not.
Psilocybe_15_S07_AB,Psilocybe_15,both,,none,Sees reflections of himself on either side; bush and tree multiply infinitely,2642,3000,A06,"B04,B05",Both individuated.
Psilocybe_15_S08_AB,Psilocybe_15,both,,none,Asks 'Who am I?' and hears inner voices answering 'Gregg Dix' through to 'no one',3047,3260,A07,B06,Both individuated.
Psilocybe_15_S09_B,Psilocybe_15,only_B,,none,"Enters strange world in head filled with language, numbers, confusion",5125,5240,,"B07,B08",B individuated; A did not.
Psilocybe_15_S10_B,Psilocybe_15,only_B,,none,Everything in life was elaborate lie; was primitive mind; became one with something else,5238,5500,,"B09,B10",B individuated; A codes at trip-level as ego dissolution.
Psilocybe_15_S11_AB,Psilocybe_15,both,,none,Yelps of coyotes and reverberating auditory hallucinations during sunset,5784,5900,A08,B11,Both individuated. Animal leaf disagreement (mammal vs other).
Psilocybe_15_S12_AB,Psilocybe_15,both,,none,Runs thinking Jeff is make-believe; everything around bends and melts,5968,6100,A09,"B12,B13",Both individuated.
Psilocybe_15_S13_AB,Psilocybe_15,both,,none,"Walking up hill, trees melted and bent around him; Jeff and the light the only stationary things",6757,6900,A10,B14,Both individuated.
Psilocybe_15_S14_AB,Psilocybe_15,both,,none,"Strange reality: street lights bent, cars flew through houses, stars fell",7381,7500,A11,B15,Both individuated.
Psilocybe_15_S15_A,Psilocybe_15,only_A,,none,"Poked head from blanket: strange orange dawn-like place, no longer night",7971,8100,A12,,A individuated; B did not.
Psilocybe_15_S16_AB,Psilocybe_15,both,,none,Friends return: figures stretching from normal height to ten feet tall,8377,8500,A13,B16,Both individuated.
Psilocybe_16_S01_AB,Psilocybe_16,both,,none,Bricks on wall take on carpet-like texture as he stares,807,930,A01,B01,Both individuated.
Psilocybe_16_S02_AB,Psilocybe_16,both,,none,"Sees outlines of numbers, a strange face, and moving patterns on wall",930,1080,A02,"B02,B03,B04,B05",Both individuated.
Psilocybe_16_S03_A,Psilocybe_16,only_A,,none,Trees outside loomed at him vibrant and alive,1082,1180,A03,,A individuated; B did not.
Psilocybe_16_S04_AB,Psilocybe_16,both,,none,Hidden patterns on floor including etheric forms of two figures embracing each other,1208,1480,A04,"B06,B07,B08",Both individuated.
Psilocybe_16_S05_B,Psilocybe_16,only_B,,none,Alex Grey's website: couldn't tell if pictures were actually moving animations or not,1489,1700,,B09,B individuated; A did not.
Psilocybe_16_S06_AB,Psilocybe_16,both,,none,Tiny spiders crawling across vision,3004,3100,A05,,(Actually only_A — B did not code tiny spiders at scene level.)
Psilocybe_16_S07_AB,Psilocybe_16,both,,none,"Closed-eye imaginative imagery: anything he thinks of appears behind eyelids, vivid and psychedelic; 'carnival of the strange' atmosphere",3332,3550,A06,"B10,B11,B12",Both individuated.
Psilocybe_16_S08_B,Psilocybe_16,only_B,,none,Pressing fingers into desk: resistance perceived as non-spatial pure sensation (dimensionless),4812,5180,,"B13,B14,B15",B individuated; A did not.
Psilocybe_16_S09_B,Psilocybe_16,only_B,,none,"Language devolves into glossolalia soup; bringing up random images (blackboard, chalk, dog barking)",7786,8000,,"B16,B17,B18,B19,B20",B individuated; A did not.
Psilocybe_17_S01_A,Psilocybe_17,only_A,,none,"Newspapers on table defy gravity, flap gently as if from a breeze",1491,1700,A01,,A individuated; B did not.
Psilocybe_17_S02_AB,Psilocybe_17,both,,none,"PC screen appears as kaleidoscope of colors, beehive of intricate 'networks' like stars of color on a blank pallet",1848,2100,A02,"B01,B02",Both individuated.
Psilocybe_17_S03_AB,Psilocybe_17,both,,none,"Sees Quetzalcoatl (snake god of Aztecs) in distance, approaching; body of multi-polygon Rubik's-cube-like formation; peers at him, lifts him",2952,4400,"A03,A04,A05,A06,A07","B03,B04,B05",Both individuated.
Psilocybe_17_S04_AB,Psilocybe_17,both,,none,Dies and disintegrates into pieces; grew 6 extra arms; feels broken body; hears parents' voices asking 'what is wrong with you son?',4365,5100,"A08,A09","B06,B07,B08",Both individuated.
Psilocybe_17_S05_AB,Psilocybe_17,both,,none,"Fan spawns flaming Pentagram; Satan appears as a face from pentagram, laughs, goes away",5257,5480,A10,"B09,B10,B11,B12",Both individuated.
Psilocybe_17_S06_AB,Psilocybe_17,both,,none,"Quetzalcoatl reappears, morphs room: walls split, windows become flapping mirrors, door missing knob",5896,6200,A11,B13,Both individuated.
Psilocybe_17_S07_AB,Psilocybe_17,both,,none,Journeys out of Earth into other planets to see other terrestrial life,7027,7150,A12,,(Only A individuated.)
Psilocybe_18_S01_AB,Psilocybe_18,both,,none,Starry night sky expands and contracts in rhythm with breathing,1780,1920,A01,"B01,B02",Both individuated.
Psilocybe_18_S02_AB,Psilocybe_18,both,,none,Grass arranges itself in geometric patterns while walking; patterns become more organized and permanent,2119,2800,"A02,A03","B03,B04",Both individuated.
Psilocybe_18_S03_AB,Psilocybe_18,both,,none,Fuzzy edge of scarf appears as large white spider ambling along to his left,2789,3000,A04,"B05,B06,B07",Both individuated. Type-of-alteration disagreement (detached vs illusion).
Psilocybe_18_S04_AB,Psilocybe_18,both,,none,Bright blue galaxy with yellow Mario stars transposed over night sky between two palm trees,5351,5500,A05,"B08,B09,B10",Both individuated with matching type-of-alteration.
Psilocybe_18_S05_AB,Psilocybe_18,both,,none,Jaguar's eyes staring back at him from horizon on city skyline,9144,9280,A06,"B11,B12",Both individuated.
Psilocybe_18_S06_A,Psilocybe_18,only_A,,none,Outlines of spiders on both peaks of Squaw Peak,10193,10320,A07,,A individuated; B did not.
Psilocybe_18_S07_AB,Psilocybe_18,both,,none,Green light of smoke detector makes a peace sign,26752,26900,A08,"B13,B14",Both individuated. Object-class disagreement (geometrical-pattern vs human-others).
Psilocybe_18_S08_A,Psilocybe_18,only_A,,none,Words moving across computer screen making them hard to read,28692,28800,A09,,A individuated; B did not.
Psilocybe_19_S01_A,Psilocybe_19,only_A,,none,"Circle of light on roof is turning clockwise, then counter-clockwise",1024,1250,A01,,A individuated; B did not.
Psilocybe_19_S02_A,Psilocybe_19,only_A,,none,Portraits on wall seem pleased with his efforts to entertain the stern one,2248,2380,A02,,A individuated; B did not.
