scene_id,trip_id,rater_status,stage1_driver,verdict,verdict_flavour,verdict_source,rationale
Psilocybe_19_S01_A_RCL,Psilocybe_19,only_A,RCL,MISS,,manual,"""Circle of light on the roof is turning clockwise, then counter-clockwise"" — concrete visual hallucination of motion. Pair's criterion elsewhere in neighbouring trips (Alessandra × Alessio) includes movement perception hallucinations."
Psilocybe_19_S02_A_RCL,Psilocybe_19,only_A,RCL,MISS,,manual,"""Portraits on wall seem pleased with my efforts to entertain the stern one"" — animated portraits with responsive expressions. Concrete visual person-in-art hallucination."
Psilocybe_19_S03_A_AMP,Psilocybe_19,only_A,AMP,AMBIGUITY,2a,auto,Ambient perceptual amplification without a discrete hallucinatory object — the Guidelines do not rule cleanly on whether brightness/colour/shimmer changes alone constitute a scene.
Psilocybe_19_S04_B_SOMA,Psilocybe_19,only_B,SOMA,AMBIGUITY,2b,auto,Somatic self-transformation / interoceptive content — the passage is phenomenologically real but may not be a hallucinatory SCENE in the external-object sense; would fit better in a body-schema / ego-dissolution category the current taxonomy lacks.
Psilocybe_19_S05_B_SOMA,Psilocybe_19,only_B,SOMA,AMBIGUITY,2b,auto,Somatic self-transformation / interoceptive content — the passage is phenomenologically real but may not be a hallucinatory SCENE in the external-object sense; would fit better in a body-schema / ego-dissolution category the current taxonomy lacks.
Psilocybe_19_S07_B_SOMA,Psilocybe_19,only_B,SOMA,AMBIGUITY,2b,auto,Somatic self-transformation / interoceptive content — the passage is phenomenologically real but may not be a hallucinatory SCENE in the external-object sense; would fit better in a body-schema / ego-dissolution category the current taxonomy lacks.
Psilocybe_19_S08_B_RCL,Psilocybe_19,only_B,RCL,AMBIGUITY,2b,manual,"""Outside feels like afterlife: still, void of life, worn down, no leaves"" — atmospheric feeling attributing afterlife-meaning to real environmental features. Not a concrete hallucination; more a meaning-attribution / mood."
Psilocybe_19_S09_B_SOMA,Psilocybe_19,only_B,SOMA,AMBIGUITY,2b,auto,Somatic self-transformation / interoceptive content — the passage is phenomenologically real but may not be a hallucinatory SCENE in the external-object sense; would fit better in a body-schema / ego-dissolution category the current taxonomy lacks.
Psilocybe_19_S10_B_RCL,Psilocybe_19,only_B,RCL,AMBIGUITY,2b,manual,"""Every word I say is influencing my reality"" — magical-thinking / delusional belief about word-world coupling. Not a perceptual hallucination; a cognitive/belief state."
Psilocybe_19_S11_B_RCL,Psilocybe_19,only_B,RCL,MISS,,manual,"""Water from faucet splashes then seemed to freeze within seconds; time stops until track restarts"" — concrete visual+temporal hallucination with specific content. Matches the only AB scene (body split) in having concrete anomalous perceptual content, and matches pair's criterion in neighbouring trips."
Psilocybe_20_S01_A_AMP,Psilocybe_20,only_A,AMP,AMBIGUITY,2a,auto,Ambient perceptual amplification without a discrete hallucinatory object — the Guidelines do not rule cleanly on whether brightness/colour/shimmer changes alone constitute a scene.
Psilocybe_20_S02_A_AMP,Psilocybe_20,only_A,AMP,AMBIGUITY,2a,auto,Ambient perceptual amplification without a discrete hallucinatory object — the Guidelines do not rule cleanly on whether brightness/colour/shimmer changes alone constitute a scene.
Psilocybe_20_S03_A_RCL,Psilocybe_20,only_A,RCL,MISS,,manual,"""Finger lights stay in my vision for many seconds after I would stop moving them"" — concrete visual trail/after-image hallucination. Matches AB criterion (S11 houses morph, S12 guitar bending) — visual-distortion category."
Psilocybe_20_S05_A_RCL,Psilocybe_20,only_A,RCL,MISS,,manual,"""World seemed to fly by us; my legs didn't exist for a few moments as I floated"" — concrete somatic+visual hallucination (legs vanish, floating). Matches AB S04 (ground bending under weight) and S13 (body morphing) — same body/environment alteration category."
Psilocybe_20_S06_A_FRAG,Psilocybe_20,only_A,FRAG,AMBIGUITY,2a,auto,Fragment/sub-scene of a holistic scene coded by the other rater — the Guidelines do not specify lump-vs-split granularity for overlapping spans.
Psilocybe_20_S08_A_RCL,Psilocybe_20,only_A,RCL,AMBIGUITY,2a,manual,"""Electric jolt in mouth whenever the taste felt strongest"" — somatic/gustatory sensation co-occurring with real taste. Edge-case: could be real nerve sensation from the mushroom or a somatic hallucination. Guidelines unclear on how to treat co-occurring-with-real-stimulus sensations."
Psilocybe_20_S10_A_RCL,Psilocybe_20,only_A,RCL,AMBIGUITY,2a,manual,"""Could have sworn I pissed and shat all over my pants; later found perfectly clean — must have hallucinated that part"" — a false somatic/proprioceptive belief corrected later. Edge-case between somatic hallucination and a delusional false belief."
Psilocybe_20_S14_A_RCL,Psilocybe_20,only_A,RCL,MISS,,manual,"""Lights fade in/out slowly with 1-minute delay after switch is flipped"" — concrete temporal/visual distortion. Matches AB criterion (S11 houses morph, S12 guitar bending over time) — temporal-visual distortion category."
